Spell Name,Type,Pronunciation,Description,Seen/Mentioned
(False memory spell)[],Charm,N/A,Implants a false memory in the victim without them realising it was not originally theirs.,"Lord Voldemort used this spell twice; firstly in 1943 upon his uncle Morfin Gaunt, then sometime later on the house-elf Hokey. Both instances were to hide his crimes and make the victims believe they were responsible. It is likely that Kingsley Shacklebolt used this spell on Marietta Edgecombe in 1996 in order to prevent her from revealing Dumbledore's Army to Cornelius Fudge. This is reinforced by Dumbledore stating that Shacklebolt was ""remarkably quick on the uptake"" in modifying her memory. It is possible that Professor Horace Slughorn used this in the next school year to hide his memory of Voldemort asking him about Horcruxes, although as he retained awareness of the true memory his spell may be a different one. It is also possible that he simply repressed it to such a degree that it could not be extracted from him against his will, as the memory he gave Dumbledore simple went blank at the right times and was replaced by a disembodied shouting, rather than images; this was noted to be crudely done. Hermione Granger used this in 1997 to make her parents believe they were named Wendell and Monica Wilkins respectively, that they have no daughter, and to make them move to Australia in order to protect them from Voldemort and his Death Eaters."
(Feather-light charm)[],Charm,N/A,Makes an object light as a feather.,"Harry Potter contemplated using this in 1993 to lighten his trunk so that he could carry it by broom to Gringotts, though he decided against it."
(Ferret to human)[],Transfiguration,N/A,Transforms a ferret into a human.,It was used by Minerva McGonagall on Draco Malfoy in 1994.
Ferula (Bandaging Charm)[],"Conjuration, Healing spell",fer-ROOL-lah,"Conjures up bandages and wraps them around a wound, splinting any broken bones.",Used by Remus Lupin in 1994 to bind Ronald Weasley's broken leg.
Fianto Duri[],Charm,fee-AN-toh DOO-ree,"A defensive charm which, based on the etymology, strengthens shield spells, and perhaps objects in general, in a similar way to Duro.",Used to protect Hogwarts School of Witchcraft and Wizardry in 1998.
(Fidelius Charm)[],Charm,N/A,"An immensely complex charm used to hide secret information within the soul of the charm's recipient, who is called a Secret-Keeper. The information is irretrievable unless the Secret-Keeper willingly chooses to reveal it, and only the aforementioned person can do so.","In 1993, it was explained that when Harry was merely an infant, he and his parents were hidden from Voldemort with this charm; from 1995 onward it was used to protect Grimmauld Place, and in 1998 it was used to protect Shell Cottage."
(Fiendfyre)[],Curse,N/A,"Unleashes cursed fire that takes the shape of animals that actively seek out living targets and burn anything in its path, including nearly indestructible substances such as Horcruxes. In addition, this fire is made even more dangerous due to the fact that it is extremely difficult to control, and cannot be extinguished with normal or enchanted water.[31]","Though there are numerous instances when it may have been used, it was only proven to have been used in 1998 by Vincent Crabbe, who was killed by it.[31]"
Finestra (Finestra spell)[],Charm,fi-NESS-tra,Shatters glass.,"On 6 December 1926, Newt Scamander shattered the front window of the Voclain & Co. jewellery store in New York using this spell to try and recapture his escaped niffler when he saw it loose inside the store stealing things."
Finite Incantatem (General Counter-Spell)[],Counter-Spell,fi-NEE-tay in-can-TAH-tem,Terminates all spell effects in the vicinity of the caster.,"Severus Snape used this to restore order to the Duelling Club in 1992, after the event had descended into utter chaos.[40]"
(Finger-removing jinx)[],Jinx,N/A,Removes a person's fingers.,Gunhilda Kneen jinxed her husband with this spell.
(Firestorm)[],Charm,N/A,Produces a ring of fire from the wand.,Albus Dumbledore used this spell to rescue Harry from Inferi in 1997.
(Flagrante Curse)[],Curse,flah-GRAHN-tay,Causes objects to burn on contact.,The Lestrange Vault had this curse on it.
Flagrate[],Charm,flah-GRAH-tay,Writes in midair with firey marks.,Tom Riddle used this spell to write his name; Hermione Granger used it three years later to mark some doors.
(Flame-Freezing Charm)[],Charm,N/A,Causes fire to tickle those caught in it instead of burning them.,Third year students wrote an essay on the use of this charm in medieval witch-burnings; Wendelin the Weird was burned forty-seven times.
(Flask-conjuring spell)[],Conjuration,N/A,Conjures a glass flask,"On 1 May, 1998, Hermione Granger used this spell to collect the memories of a dying Severus Snape."
Flintifors[],Transfiguration,FLINT-i-fors,Transforms objects into matchboxes.,"In the 1980s, this spell was covered in third year transfiguration classes."
Flipendo (Knockback Jinx)[],Jinx,fli-PEN-doh,Knocks objects and creatures backwards.,Taught in first year Defence Against the Dark Arts and Charms class.
Flipendo Duo (Knockback Jinx Duo)[],Jinx,flih-PEN-doh DOO-oh,A more powerful version of Flipendo.,N/A
Flipendo Maxima'[],Jinx,N/A,"A more powerful version of the Knockback Jinx, which threw the target back at a much greater force.","Invented by Badeea Ali in the 1989â€“1990 school year, who taught it to fellow sixth year students."
Flipendo Tria[],Jinx,flih-PEN-doh TREE-ah,A more powerful version of Flipendo Duo; it is said to resemble a miniature tornado.,N/A
(Flying charm)[],Charm,N/A,This spell is cast on broomsticks and flying carpets to allow them to fly.,"Draco Malfoy mentioned this spell when insulting Ron Weasley's broomstick, wondering why anyone would charm it."
(Foundables Spell)[],N/A,N/A,Unleashed the Calamity upon the Wizarding world; created foundables.,N/A
Fracto Strata[],Spell,Fracto Strata (Pronunciation Unknown),zap-type spell which can break weak objects into pieces.,This is the main offensive spell used in the LEGO Harry Potter: Years 1-4 and LEGO Harry Potter: Years 5-7 games.
Fumos (Smokescreen Spell)[],Charm,FYOO-moss,Defensive smokescreen that hinders visibility.,This spell is covered in The Dark Forces: A Guide to Self-Protection.
Fumos Duo[],Charm,N/A,A more powerful version of Fumos.,N/A
Furnunculus (Pimple Jinx)[],Jinx,fer-NUN-kyoo-luss,Covers the target in boils (or pimples).[30],Used by Harry Potter on Gregory Goyle.[30]
(Fur spell)[],Charm,N/A,Causes fur to grow on the victim.,Fred and George Weasley used this spell on each other.
Geminio (Doubling Charm)[],Charm,jeh-MIH-nee-oh,"Duplicates the target. When used to duplicate objects indefinitely on purpose, is known as the Gemino Curse.",Used by Hermione Granger on Salazar Slytherin's Locket to disguise her presence from Dolores Umbridge. Also used in the Lestrange family vault to keep the trio from stealing the horcrux.
Glacius (Freezing Spell)[],Charm,GLAY-see-us,Freezes the target with icy-cold air.,N/A
Glacius Duo[],Charm,GLAY-see-us DOO-oh,A more powerful version of Glacius.,N/A
Glacius Tria[],Charm,GLAY-see-us TREE-ah,A more powerful version of Glacius Duo.,N/A
Glisseo (Sliding Spell)[],Charm,GLISS-ee-oh,Causes the steps on a stairway to flatten into a slide.,Used by Hermione Granger to escape from Death Eaters.
(Green Sparks)[],N/A,N/A,Jet of green sparks that can be used to signal an emergency or as a minor duelling spell.,"Taught in Defence Against the Dark Arts; When Hagrid, Harry and Hermione try to find an injured unicorn, Hagrid says that if it is found, they must send up green sparks."
(Gripping Charm)[],Charm,N/A,Helps someone grip something more effectively.,Used on Quaffles to help Chasers carry them.
(Growth Charm)[],Charm,N/A,Increased size.,N/A
(Gusts)[],Dark spell,N/A,Created gusts of wind.,N/A
(Gytrash-conjuring spell)[],"Conjuration, Dark Arts",N/A,"Conjures luminous green Gytrashes from the wand, which can be commanded by the caster to attack an opponent.",N/A
(Hair-thickening Charm)[],Charm,N/A,Thickens the victim's hair.,"Severus Snape claimed Alicia Spinnet used this spell on her eyebrows, where as in reality she was jinxed by Miles Bletchley."
Harmonia Nectere Passus[],Charm,har-MOH-nee-a NECK-teh-ray PASS-us,Repairs a Vanishing Cabinet.,Used by Draco Malfoy to mend a cabinet in 1996.
Herbifors[],Transfiguration,N/A,This spell causes flowers to sprout from the victim.,N/A
Herbivicus (Herbivicus Charm)[],Charm,her-BIV-i-cuss,Rapidly grows plants.,Taught by Professor Pomona Sprout in Herbology classes.
(Hermione Granger's jinx)[],Jinx,N/A,"Causes a traitor to break out in boils spelling ""SNEAK"" on their forehead.","Hermione Granger designed and placed this jinx on the parchment signed by all members of Dumbledore's Army. When Marietta Edgecombe betrayed the D.A. to Dolores Umbridge, the jinx was triggered."
(Homing spell)[],N/A,N/A,Offensive spells that follow their target with a constant speed after being cast.,N/A
Homenum Revelio (Human-Presence-Revealing Spell)[],Charm,HOM-eh-num reh-VEH-lee-oh,Reveals human presence in the vicinity of the caster.,Used multiple times by various people in 1997.
(Homonculous Charm)[],Charm,N/A,"Tracks the movements of human beings. The charm has a powerful effect in that it is not fooled by various methods of concealment and disguise, such as Invisibility Cloaks, the Polyjuice Potion or transformed Animagi.","This charm was used on Marauder's Map by James Potter, Sirius Black, Remus Lupin, and Peter Pettigrew after charting the grounds and halls of Hogwarts Castle in order to track the movements of everyone within the castle grounds."
(Homorphus Charm)[],Charm,N/A,Causes a Werewolf to revert back to human shape.[14],"According to Lockhart, he used it to force the Wagga Wagga Werewolf to take its human form.[14]"
(Horn Tongue Hex)[],Hex,N/A,Transforms the target's tongue into a horn.,"Harry Potter came across it while perusing the index of Basic Hexes for the Busy and Vexed in search of a way to overcome the dragon he knew he would have to face in the First Task of the Triwizard Tournament. He quickly ruled it out, however, realising it would only give the dragon yet another way to attack him.[2]"
(Horton-Keitch Braking Charm)[],Charm,N/A,Charm patented by Basil Horton and Randolph Keitch that allows for broom-riders to stop more precisely. This spell was first used on the Comet 140 to prevent players from overshooting the goal posts and from flying off-sides.,Enchanted on all Comet 140 broomsticks.
(Horcrux-making spell)[],Dark Arts,N/A,"This spell allows a part of a wizard's soul to pass into an object, thereby making the object a Horcrux. One has to commit murder and take advantage of the soul's ""splitting apart"" by this supreme act of evil in order to be able to perform this spell, and it is probably very complex. In 1943, Horace Slughorn described the spell to a young Tom Riddle as encasing a portion of the torn soul and placing it within an object. The spell itself is described in detail in a banned book known as ""Secret of the Darkest Art"", which Hermione Granger summoned from Albus Dumbledore's office near the end of their sixth year. According to the text, use of this spell to separate the soul will make the remaining portion of the soul very fragile, and can only be reversed by ""remorse"" of the wrongs the creator had made; however, the pain caused by attempting to reverse the creation of a Horcrux can destroy the individual.",Used by Lord Voldemort while creating his Horcruxes.
(Hot Air Charm)[],Charm,N/A,Conjures a stream of hot air,Used by Hermione Granger in 1995 to dry off her robes. Also used shortly after to melt snow. Also was used by Albus Dumbledore in 1997 to dry Harry's and his own robes.
(Hour-Reversal Charm)[],Charm,N/A,Reverses small amounts of time (up to five hours).,"Used to create Time-Turners, as mentioned by Professor Saul Croaker; this charm is highly unstable.[49]"
(Hover Charm)[],Charm,N/A,Used to make the target hover. It is one of the many lesser variations of the Levitation Charm.,Used by Dobby to demolish a pudding.[50]
(Hurling Hex)[],Hex,N/A,Causes brooms to vibrate violently in the air and try to buck their rider off.,Professor Flitwick suggested that Harry's confiscated Firebolt may be jinxed with this spell.[41]
(Ice Jinx)[],Jinx,N/A,Generated a small block of ice.,N/A
Illegibilus[],Charm,i-LEDJ-i-bull-is,Makes writing impossible to read.,N/A
Immobulus (Freezing Charm)[],Charm,ih-MOH-byoo-luhs,Immobilises and stops the actions of the target. It works both on living and inanimate things.,Hermione used it 1992 to freeze two Cornish Pixies.[51] Horace Slughorn used Freezing Charms to disable a Muggle Burglar Alarm.[52]
Impedimenta (Impediment Jinx)[],Jinx,im-ped-ih-MEN-tah,Slows down or stops the target.,"Used in 1995 when Harry was practising for the Third Task of the Triwizard Tournament. In 1996, Harry saw in a memory that James Potter used it on Severus Snape. Also used in 1997 by Harry against the Inferi and Snape. Stronger uses of this spell seem capable of blowing targets away."
Imperio (Imperius Curse)[],Curse,im-PEER-ee-oh,"Places the victim completely under the caster's control. The victim is put into a calm, trance-like state, and becomes unquestionably obedient to the commands of the caster. However, those who are strong-willed may learn to resist it. One of the three ""Unforgivable Curses,"" the use of this curse on another human results in capital punishment or life sentence in Azkaban.[13]","Used on many occasions. First seen in 1994 when Barty Crouch Jnr, impersonating ex-Auror Alastor Moody, used it on a spider and later on students during a ""class demonstration"" in a Defence Against the Dark Arts class. While breaking into Gringotts in 1998, Harry used it on a goblin and a Death Eater when they became suspicious."
(Imperturbable Charm)[],Charm,N/A,"Creates an invisible magical barrier on an object, such as a door. This barrier bounces objects off of it, and muffles sounds.","It used by Molly Weasley in the same year on the door of the room in which an Order of the Phoenix meeting was being held, in order to prevent her sons, Fred and George, from eavesdropping.[53]"
Impervius (Impervius Charm)[],Charm,im-PUR-vee-us,Makes an object repel water and mist.,"Used by Hermione Granger in 1993 on Harry's glasses while in a Quidditch match and also by the Gryffindor Quidditch team. Also used in 1997, first by Ron to protect objects in Yaxley's office from rain, and then by Hermione to protect Harry, Ron and Griphook from the burning treasure in the Lestranges' vault."
Inanimatus Conjurus (Inanimatus Conjurus Spell)[],Transfiguration,in-an-ih-MAH-tus CON-jur-us,"It is a spell of unknown effect, most likely used to conjure an inanimate object.",Mentioned briefly in 1995.
Incarcerous (Incarcerous Spell)[],Conjuration,in-KAR-ser-us,Ties up the target with ropes conjured from thin air.,"Used 1996, when Dolores Umbridge tries to hold off Centaurs. Also used by Harry on the Inferi in Voldemort's Crystal Cave in 1997 and also attempted to use it on Severus Snape in the same year."
Incendio (Fire-Making Spell)[],"Charm, Conjuration",in-SEN-dee-oh,Produces fire.,It was used in 1994 by Arthur Weasley to create a fire in the Dursleys' hearth so that he could use Floo Powder there.[54]
Incendio Duo[],Charm,in-SEN-dee-oh DOO-oh,A stronger version of Incendio.,N/A
Incendio Tria[],Charm,in-SEN-dee-oh TREE-ah,An improvement over both Incendio and Incendio Duo.,N/A
Inflamare (Ignition Spell)[],Conjuration,,Lights a target using a small fireball.,N/A
Inflatus (Inflating Charm)[],Jinx,in-FLAY-tus,"Inflates the target, filling it with air.",N/A
Informous (Informous Spell)[],Charm,in-FOR-m-es,Informous is a spell that is used to complete one's Folio Bruti. A page with a brief description (including weaknesses and strengths) of the charmed creature is added to the caster's Folio Bruti.,N/A
(Instant scalping hex)[],Hex,N/A,Instantly scalps all the hair off of a target.,"Harry Potter came across it while browsing the index of Basic Hexes for the Busy and Vexed, trying to find a way to fight the dragon he knew he would have to face for the First Task of the Triwizard Tournament. He quickly decided it would be ineffective, because dragons do not have hair."
(Intruder Charm)[],Charm,N/A,Detects intruders and sounds an alarm.,"Horace Slughorn used it on a Muggle-owned house he stayed in temporarily in 1996, but did not hear it go off when Albus Dumbledore and Harry Potter arrived, as he was in the bath."
Locomotor Wibbly (Jelly-Legs Curse)[],"Curse, Jinx",loh-koh-MOH-tor WIB-lee,Causes the victim's legs to collapse as if they were turned to jelly.,"One of the spells mentioned in Curses and Counter-Curses by Vindictus Viridian, used on Harry, practising for the Third Task of the Triwizard Tournament, by Hermione. Also, Draco Malfoy was hit with this jinx (along with another one) at the end of the term."
(Jelly-Brain Jinx)[],Jinx,N/A,Reduces the target's mental processes.,"During the September 1999 riot that took place during the Puddlemere United/Holyhead Harpies Quidditch game, a lot of Harpy supporters were using this jinx."
(Jelly-Fingers Curse)[],Curse,N/A,"Causes target's fingers to become wobbly, making it uneasy for the victim to grasp objects.","After a June 1999 Pride of Portree/Appleby Arrows Quidditch game, the losing Seeker accused his opposite number of putting this curse on him as they both closed in on the Snitch."
(Knee-reversal hex)[],Hex,N/A,Puts knees on backward.[16],N/A
(Knitting Charm)[],Charm,N/A,Knitting needles knit automatically.,N/A
Lacarnum Inflamari[],Charm,la-KAR-num in-flah-MAR-ee,Ignites cloaks.,
Langlock[],Jinx,LANG-lock,Sticks a victim's tongue to the roof of their mouth. Created by Severus Snape.,"Used by Harry on Peeves and twice on Argus Filch, to general applause."
Lapifors (Lapifors Spell)[],Transfiguration,LAP-ih-forz,Transforms the target into a rabbit.,Taught in third year Transfiguration class.
(Leek Jinx)[],Jinx,N/A,Makes leeks sprout out of the target's ears.,Used by a fighting Gryffindor fourth year and sixth year Slytherin before a Quidditch match in 1992.[55]
Legilimens (Legilimency Spell)[],Charm,Le-JIL-ih-mens,"Allows the caster to delve into the mind of the victim, allowing the caster to see the memories, thoughts, and emotions of the victim.",Used by Severus Snape on Harry after he had a dream about Arthur Weasley being attacked by Nagini in 1995. Also during Occlumency lessons in 1996. Also used non-verbally by Snape on Harry in 1997 to allow him to see where Harry had learned the Sectumsempra spell.
Levicorpus[],Jinx,leh-vee-COR-pus,Hoists people up into the air by their ankle.[56] Created by Severus Snape.[5],"Apparently invented by the Half-Blood Prince; it is a non-verbal-only spell (although it is whispered by Hermione in 1997). Harry Potter learnt it by reading the notes written by the Half-Blood Prince. He used it on Ron. The previous year, Harry had seen (through the Pensieve used by Severus Snape) his father, James Potter, use the spell against Professor Snape."
Levioso[],Charm,leh-vee-OH-so,Makes objects levitate.,N/A
Liberacorpus[],Counter-Jinx,LIB-er-ah-cor-pus,The counter-jinx to Levicorpus.[56],Harry used the spell in 1996 to counteract Levicorpus he had inadvertently cast on Ron.[56]
Locomotor (Locomotion Charm)[],Charm,loh-kuh-MOH-tor,"Allows a witch or wizard to levitate a target a few inches off of the ground and then move said object in any given direction. Similarly to the Summoning Charm, a specific object can be moved by calling the object aloud after saying the incantation.","Used by Nymphadora Tonks in Harry Potter to move Harry's trunk from his room. Filius Flitwick similarly used it to move Sybill Trelawney's trunk after Dolores Umbridge sacked her. Parvati Patil and Lavender Brown used this spell to race their pencil cases around the edges of the table. A variation seen in 1998 is Piertotum Locomotor, which caused the statues of Hogwarts to be animated."
Locomotor Mortis (Leg-Locker Curse)[],Curse,LOH-koh-moh-tor MOR-tis,Sticks legs together.,"Used by Draco Malfoy on Neville Longbottom in 1991.[57] Used by Harry Potter on Draco Malfoy, who deflected it, in 1996.[58]"
Lumos (Wand-Lighting Charm)[],Charm,LOO-mos,"Illuminates the tip of the caster's wand, allowing the caster to see in the dark.",Used by Albus Dumbledore to illuminate the dark cave in 1997.
Lumos Duo[],Charm,LOO-mos DOO-oh,Creates a focused beam of light from the end of the wand. It is a variant of the Wand-Lighting Charm.,N/A
Lumos Maxima[],Charm,LOO-mos Ma-cks-ima,Produces a blinding flash of bright white light from the tip of the wand. It is a variant of the Wand-Lighting Charm.,"First practised by Harry in the home of the Dursleys, then used by Dumbledore to light up the cave of the Horcrux."
Lumos Solem (Lumos Solem Spell)[],Charm,LOO-mos SO-lem,Produce a blinding flash of sunlight. It is a variant of the Wand-Lighting Charm.,Used by Hermione to free Ron from the Devil's Snare. The incantation was only used in the film adaptation of Harry Potter and the Philosopher's Stone.
Magicus Extremos[],Charm,N/A,Partnership-based charm that temporarily increases the casters' spell power.,N/A
Melofors (Melofors Jinx)[],Jinx,N/A,Encases the victim's head in a pumpkin.[10],Cornelius Fudge was rumoured to have been a victim of this jinx after having been overpowered by Albus Dumbledore in a duel in 1996.[59]
Meteolojinx recanto[],Counter-Charm,mee-tee-OH-loh-jinks reh-CAN-toh.,Causes weather effects caused by jinxes to cease.,"Suggested in 1997 by Arthur Weasley to Ron (disguised as Reginald Cattermole by use of Polyjuice Potion) as the best way to clear up the rain jinx on a Ministry office. Also used by Bartemius Crouch Jnr (Disguised as Alastor Moody) In 1994 to cease the weather effect of the Great Hall's Ceiling insisting it is broken as he told Dumbledore to ""Fix his ceiling""."
Mimblewimble (Tongue-Tying Curse)[],Curse,MIM-bull-wim-bull,"Ties the target's tongue in a knot, preventing them from making coherent speech, or saying incantations correctly, making it useful in duels.","Seen in 1997 as a deterrent to Severus Snape, or any other unwanted visitor of 12 Grimmauld Place, from betraying their location to anyone else."
(Ministry of Magic Fog)[],Charm,N/A,Patented charm used by the Ministry for Magic to conceal certain areas from Muggle view.,"Seen in 1997 as a deterrent to Severus Snape, or any other unwanted visitor of 12 Grimmauld Place, from betraying their location to anyone else."
Mobiliarbus[],Charm,mo-bil-lee-AR-bus,Levitates wooden objects a few inches off of the ground and moves them in any given direction.,"In 1993, Hermione Granger used the spell to move a Christmas Tree in The Three Broomsticks beside her table to hide Harry Potter, who was in Hogsmeade illegally."
Mobilicorpus[],Charm,moh-bil-lee-COR-pus,Levitates and moves bodies.,Sirius Black used it on Severus Snape in 1994. It was probably used on Peter Pettigrew by Lord Voldemort in the graveyard to make him come forward.
Molliare (Cushioning Charm)[],Charm,mull-ee-AR-ay,"Produces an invisible cushion over the target, is used primarily in the manufacturing of broomsticks.","Used by Hermione Granger to cushion her, Harry, and Ron's fall in Gringotts Wizard Bank in 1998."
Morsmordre[],Dark charm,morz-MOR-druh,"Conjures the Dark Mark, which is the sign of the Death Eaters.[29]",Used by Bartemius Crouch Junior in 1994.[29] Also seen in 1997 over Hogwarts castle to lure Albus Dumbledore to his death.[60] It was apparently invented by Lord Voldemort.
Mucus ad Nauseam (Curse of the Bogies)[],Curse,MYOO-kus ahd NAW-zee-um,Gives the victim a nasty cold and an extremely runny nose that can cause the victim to collapse if it is not treated. The cold is accompanied with constant sneezing.,Mentioned by Professor Quirrell to his first-year class.[7]
Muffliato (Muffliato Charm)[],Charm,muf-lee-AH-to,Prevents others from hearing nearby conversations by filling peoples' ears with an unidentifiable buzzing.,"It was used in 1996 by Harry Potter and Ron Weasley on various teachers and people such as Madam Pomfrey. It was created by Severus Snape. As pointed out by Hermione, it is probably not Ministry of Magic approved. It was also used in 1997 by Hermione Granger in protection of the camp-site where Harry and she stayed in hiding."
Multicorfors (Multicorfors Spell)[],Transfiguration,mull-tee-COR-fors,Multicorfors is a charm used to change the colour and style of one's clothing.[10],N/A
Mutatio Skullus[],Dark charm,myoo-TAY-toh SKULL-us,"Mutates the victim's head, causing them to grows extra heads.","Used by Ancient Egyptian wizards, as noted by Ron Weasley in 1993."
Nox (Wand-Extinguishing Charm)[],Charm,NOCKSS,"Extinguishes wandlight. It the counter-charm for the Wand-Lighting Charm, Lumos.","In  1994, Harry Potter and Hermione Granger used this spell to turn off their wand-lights in the Shrieking Shack.  Used in 1998 when Harry was in the passage beneath the Whomping Willow which leads to the Shrieking Shack. Lumos's power can be arranged so that a powerful wizard can make the charm illuminate intensely or to the wizards liking by loudness of incantation. For example ""LUMOS!!!"" would be powerful and ""lumos"" would be weaker. Also used by Harry Potter in 1998 to turn off the light so he could hide the Marauder's Map from Severus Snape."
Nebulus[],Charm,NEH-bu-lus,Creates fog from the tip of the wand.,"In 1927, Albus Dumbledore used this spell to conjure a fog in London to provide concealment for his meeting with Newton Scamander."
Oculus Reparo[],Charm,N/A,Mends eyeglasses.,Used by Hermione in 1991 and 1992 to fix Harry's glasses.
(Obliteration Charm)[],Charm,N/A,Removes footprints.,"Used by Hermione in 1995 to remove the footprints that she, Harry, and Ron left in the snow while walking to Hagrid's Hut. Also used in 1997 by Hermione to remove the footprints she and Harry left behind them in the snow as they journeyed through Godric's Hollow."
Obliviate (Memory Charm)[],Charm,oh-BLI-vee-ate,Erases specific memories.,"First seen in 1993 when used by Gilderoy Lockhart on Harry and Ron; the spell backfired due to a faulty wand, costing Lockhart most of his own memory. Also, Hermione Granger used this spell to wipe her parents memories in 1997. Again, it was used in 1997 when Hermione Granger used the spell on 2 Death Eaters who had followed Harry, Ron, and Hermione after their escape from Bill Weasley's and Fleur Delacour's wedding."
Obscuro[],Conjuration,ob-SKYUR-oh,Blindfolds the target.,Used by Hermione Granger in 1997 to obstruct the portrait of Phineas Nigellus's view of their location.
Oppugno (Oppugno Jinx)[],Jinx,oh-PUG-noh,Causes targeted objects to attack a victim. It is particularly effective in conjunction with the Bird-Conjuring Charm.,Used by Hermione Granger in 1996 to attack Ron Weasley with a summoned flock of canaries during an argument.
